variable	value	setting_type	public	description	default_value	origin
kvadmission.flow_token.dispatch_interval	1s	d	f	the interval at which the raft transport checks for pending flow token dispatches from idle connections and delivers them	1s	default
kvadmission.flow_token.drop_interval	30s	d	f	the interval at which the raft transport checks for pending flow token dispatches to nodes we're no longer connected to, in order to drop them; set to 0 to disable the mechanism	30s	default
kvadmission.raft_transport.connected_store_expiration	5m0s	d	f	the interval at which the raft transport prunes its set of connected stores; set to 0 to disable the mechanism	5m0s	default
kvadmission.rangefeed_catchup_scan_elastic_control.enabled	true	b	f	determines whether rangefeed catchup scans integrate with the elastic CPU control	true	default
kvadmission.store.elastic_disk_bandwidth_max_util	0.8	f	f	sets the max utilization for disk bandwidth for elastic traffic	0.8	default
kvadmission.store.provisioned_bandwidth	0 B	z	t	if set to a non-zero value, this is used as the provisioned bandwidth (in bytes/s), for each store. It can be overridden on a per-store basis using the --store flag. Note that setting the provisioned bandwidth to a positive value may enable disk bandwidth based admission control, since admission.disk_bandwidth_tokens.elastic.enabled defaults to true	0 B	default
kvadmission.store.snapshot_ingest_bandwidth_control.enabled	true	b	t	if set to true, snapshot ingests will be subject to disk write control in AC	true	default
kvadmission.store.snapshot_ingest_bandwidth_control.min_rate.enabled	true	b	t	if set to true, snapshot ingests will be admitted at a minimum rate when kvadmission.store.provisioned_bandwidth is set to a non-zero value. Disabling this setting can lead to snapshots being starved out by foreground traffic.	true	default
kvadmission.use_range_tenant_id_for_non_admin.enabled	true	b	f	when true, and the caller is the system tenant, the tenantID used by admission control for non-admin requests is overridden to the range's tenantID	true	default
log.channel_compatibility_mode.enabled	false	b	t	when true, logs will to log to their legacy (pre 26.1) logging channels; when false, logs will be logged to new logging channels	false	default
logical_replication.consumer.batch_size	32	i	f	the number of row updates to attempt in a single KV transaction	32	default
logical_replication.consumer.flush_chunk_max_size	1000	i	f	maximum number of row updates to pass to a flush worker at once (repeated revisions of a row notwithstanding)	1000	default
logical_replication.consumer.flush_chunk_min_size	64	i	f	minimum number of row updates to pass to a flush worker at once	64	default
logical_replication.consumer.flush_worker_per_proc	128	i	f	the maximum number of workers per processor to use to flush each batch	128	default
logical_replication.consumer.heartbeat_frequency	30s	d	f	controls frequency the stream replication destination cluster sends heartbeat to the source cluster to keep the stream alive	30s	default
logical_replication.consumer.immediate_mode_writer	crud	s	f	the writer to use when in immediate mode	crud	default
logical_replication.consumer.job_checkpoint_frequency	10s	d	f	controls the frequency with which the job updates their progress; if 0, disabled	10s	default
logical_replication.consumer.low_admission_priority.enabled	true	b	f	determines whether the consumer sends KV work as low admission priority	true	default
logical_replication.consumer.retry_queue_backoff	3s	d	f	minimum delay between retries of items in the retry queue	3s	default
logical_replication.consumer.retry_queue_duration	1m0s	d	f	maximum time an incoming update can be retried before it is sent to the DLQ	1m0s	default
logical_replication.consumer.retry_queue_partition_size_limit	16 MiB	z	f	total byte size of all retry queues for all replication streams after which events must be sent to DLQ on failure to apply	16 MiB	default
logical_replication.consumer.try_optimistic_insert.enabled	true	b	f	determines whether the consumer attempts to execute the 'optimistic' INSERT first (when there was no previous value on the source) which will succeed only if there is no conflict with an existing row	true	default
logical_replication.consumer.use_swap_mutations.enabled	true	b	f	determines whether the consumer uses swap mutations for update and delete operations	true	default
logical_replication.deprecated_udf_writer.enabled	false	b	f	enables the UDF-based logical data replication writer (deprecated, will be removed)	false	default
logical_replication.producer.group_adjacent_spans.enabled	false	b	f	controls whether to attempt adjacent spans in the same stream	false	default
logical_replication.replan_flow_frequency	10m0s	d	f	frequency at which the consumer job checks to refresh its physical execution plan	10m0s	default
logical_replication.replan_flow_threshold	0.1	f	f	fraction of nodes in the producer or consumer job that would need to change to refresh the physical execution plan. If set to 0, the physical plan will not automatically refresh.	0.1	default
logical_replication.stream_batch_size	16 MiB	z	f	target batch size for logical replication stream	16 MiB	default
obs.ash.buffer_size	1000000	i	f	number of ASH samples to retain in memory	1000000	default
obs.ash.enabled	false	b	f	enable active session history sampling	false	default
obs.ash.log_interval	10m0s	d	f	interval between periodic ASH top-N workload summary logs; also used as the lookback window for ASH reports written by the env sampler profiler	10m0s	default
obs.ash.log_top_n	10	i	f	maximum number of entries in periodic ASH workload summary, ranked by sample count descending	10	default
obs.ash.report.total_dump_size_limit	32 MiB	z	f	maximum combined disk size of preserved ASH report files	32 MiB	default
obs.ash.response_limit	10000	i	f	maximum number of ASH samples returned per node in fan-out responses	10000	default
obs.ash.sample_interval	1s	d	f	interval between ASH samples	1s	default
obs.clustermetrics.flush.enabled	true	b	f	enables periodic flushing of cluster metrics to storage	true	default
obs.clustermetrics.flush.interval	10s	d	f	the interval at which cluster metrics are flushed to storage	10s	default
obs.execution_tracer.duration	10s	d	f	the length of automatic Go execution traces	10s	default
obs.execution_tracer.interval	0s	d	f	duration between Go execution traces (zero disables)	0s	default
obs.execution_tracer.total_dump_size_limit	4.0 GiB	z	f	maximum combined disk size of preserved Go execution traces	4.0 GiB	default
obs.metric_export.codeowner_count.enabled	false	b	f	enables the reporting of per-CODEOWNER metric counts in the Prometheus scrape	false	default
obs.tablemetadata.automatic_updates.enabled	false	b	t	enables automatic updates of the table metadata cache system.table_metadata	false	default
obs.tablemetadata.data_valid_duration	20m0s	d	t	the duration for which the data in system.table_metadata is considered valid	20m0s	default
obs.tablemetadata.update_job_batch_size	20	i	f	the number of tables the update table metadata job will attempt to update in a single batch	20	default
physical_cluster_replication.reader_system_table_id_offset	1000000000	i	f	the offset added to dynamically allocated system table IDs in the reader tenant	1000000000	default
physical_replication.consumer.dump_frontier_entries_frequency	0s	d	f	controls the frequency with which the frontier entries are persisted; if 0, disabled	0s	default
physical_replication.consumer.ingest_split_event.enabled	true	b	f	whether to ingest split events	true	default
physical_replication.consumer.node_lag_replanning_threshold	5m0s	d	f	the maximum difference in lag tolerated across two destination nodes; if 0, disabled	5m0s	default
physical_replication.consumer.span_configs.enabled	true	b	f	controls whether we replicate span configurations from the source system tenant to the destination system tenant	true	default
physical_replication.consumer.timestamp_granularity	5s	d	f	the granularity at which replicated times are quantized to make tracking more efficient	5s	default
physical_replication.producer.emit_metadata.enabled	true	b	f	whether to emit metadata events	true	default
physical_replication.producer.timestamp_granularity	5s	d	f	the granularity at which replicated times are quantized to make tracking more efficient	5s	default
physical_replication.producer.unsafe_debug.discard_all_data.enabled	false	b	f	discard all row data during cluster replication (for experimental debugging purposes only)	false	default
restore.compacted_backups.enabled	true	b	f	allow restoring from compacted backups	true	default
restore.frontier_checkpoint_max_bytes	1.0 MiB	z	f	controls the maximum size of the restore checkpoint frontier as a the sum of the (span,timestamp) tuples	1.0 MiB	default
restore.retry_log_rate	5m0s	d	f	maximum rate at which retryable restore errors are logged to the job messages table	5m0s	default
restore.retry_max_duration	72h0m0s	d	f	maximum duration a restore job will retry before terminating	72h0m0s	default
restore.wait_for_span_config_conformance.enabled	false	b	f	if enabled, RESTORE will ensure span config conformance before ingestion	false	default
